timestamp, memory.used [MiB], utilization.gpu [%]
2026/08/01 14:48:07.075, 5943 MiB, 28 %
2026/08/01 14:48:12.076, 5943 MiB, 38 %
2026/08/01 14:48:17.076, 5943 MiB, 27 %
2026/08/01 14:48:22.076, 5943 MiB, 23 %
2026/08/01 14:48:27.077, 5943 MiB, 28 %
2026/08/01 14:48:32.077, 5943 MiB, 29 %
2026/08/01 14:48:37.077, 5943 MiB, 29 %
2026/08/01 14:48:42.078, 5943 MiB, 29 %
2026/08/01 14:48:47.078, 5943 MiB, 29 %
2026/08/01 14:48:52.079, 5943 MiB, 22 %
2026/08/01 14:48:57.079, 5943 MiB, 29 %
2026/08/01 14:49:02.080, 5943 MiB, 25 %
2026/08/01 14:49:07.080, 5943 MiB, 26 %
2026/08/01 14:49:12.081, 5943 MiB, 29 %
2026/08/01 14:49:17.082, 5943 MiB, 26 %
2026/08/01 14:49:22.082, 5943 MiB, 29 %
2026/08/01 14:49:27.083, 5943 MiB, 27 %
2026/08/01 14:49:32.083, 5943 MiB, 27 %
2026/08/01 14:49:37.083, 5943 MiB, 28 %
2026/08/01 14:49:42.084, 5943 MiB, 28 %
2026/08/01 14:49:47.084, 5943 MiB, 29 %
2026/08/01 14:49:52.085, 5943 MiB, 27 %
2026/08/01 14:49:57.085, 5943 MiB, 29 %
2026/08/01 14:50:02.085, 5943 MiB, 27 %
2026/08/01 14:50:07.086, 5943 MiB, 25 %
2026/08/01 14:50:12.086, 5943 MiB, 29 %
2026/08/01 14:50:17.087, 5943 MiB, 29 %
2026/08/01 14:50:22.087, 5943 MiB, 33 %
2026/08/01 14:50:27.087, 5943 MiB, 34 %
2026/08/01 14:50:32.088, 5951 MiB, 26 %
2026/08/01 14:50:37.088, 5951 MiB, 22 %
2026/08/01 14:50:42.089, 5951 MiB, 28 %
2026/08/01 14:50:47.089, 5951 MiB, 24 %
2026/08/01 14:50:52.090, 5971 MiB, 33 %
2026/08/01 14:50:57.090, 5995 MiB, 21 %
2026/08/01 14:51:02.090, 6003 MiB, 22 %
2026/08/01 14:51:07.091, 6015 MiB, 24 %
2026/08/01 14:51:12.091, 6027 MiB, 19 %
2026/08/01 14:51:17.092, 6055 MiB, 20 %
2026/08/01 14:51:22.092, 6065 MiB, 19 %
2026/08/01 14:51:27.093, 6075 MiB, 17 %
2026/08/01 14:51:32.093, 6085 MiB, 22 %
2026/08/01 14:51:37.094, 6103 MiB, 22 %
2026/08/01 14:51:42.094, 6113 MiB, 21 %
2026/08/01 14:51:47.095, 6123 MiB, 18 %
2026/08/01 14:51:52.095, 6137 MiB, 18 %
2026/08/01 14:51:57.096, 6141 MiB, 16 %
2026/08/01 14:52:02.096, 6151 MiB, 22 %
2026/08/01 14:52:07.097, 6151 MiB, 22 %
2026/08/01 14:52:12.097, 6159 MiB, 19 %
2026/08/01 14:52:17.098, 6159 MiB, 19 %
2026/08/01 14:52:22.099, 6159 MiB, 18 %
2026/08/01 14:52:27.099, 6159 MiB, 18 %
2026/08/01 14:52:32.099, 6159 MiB, 18 %
2026/08/01 14:52:37.100, 6159 MiB, 20 %
2026/08/01 14:52:42.100, 6159 MiB, 19 %
2026/08/01 14:52:47.101, 6159 MiB, 18 %
2026/08/01 14:52:52.101, 6159 MiB, 20 %
2026/08/01 14:52:57.102, 6167 MiB, 19 %
2026/08/01 14:53:02.102, 6167 MiB, 20 %
2026/08/01 14:53:07.103, 6167 MiB, 19 %
2026/08/01 14:53:12.103, 6167 MiB, 18 %
2026/08/01 14:53:17.103, 6175 MiB, 17 %
2026/08/01 14:53:22.104, 6175 MiB, 18 %
2026/08/01 14:53:27.104, 6175 MiB, 18 %
2026/08/01 14:53:32.105, 6175 MiB, 17 %
2026/08/01 14:53:37.105, 6189 MiB, 20 %
2026/08/01 14:53:42.106, 6203 MiB, 17 %
2026/08/01 14:53:47.106, 6213 MiB, 20 %
2026/08/01 14:53:52.107, 6221 MiB, 17 %
2026/08/01 14:53:57.107, 6231 MiB, 18 %
2026/08/01 14:54:02.107, 6245 MiB, 19 %
2026/08/01 14:54:07.108, 6277 MiB, 17 %
2026/08/01 14:54:12.108, 6287 MiB, 19 %
2026/08/01 14:54:17.109, 6297 MiB, 19 %
2026/08/01 14:54:22.109, 6309 MiB, 19 %
2026/08/01 14:54:27.110, 6319 MiB, 18 %
2026/08/01 14:54:32.110, 6331 MiB, 19 %
2026/08/01 14:54:37.110, 6347 MiB, 18 %
2026/08/01 14:54:42.111, 6349 MiB, 20 %
2026/08/01 14:54:47.111, 6349 MiB, 18 %
2026/08/01 14:54:52.112, 6349 MiB, 20 %
2026/08/01 14:54:57.112, 6349 MiB, 18 %
2026/08/01 14:55:02.113, 6349 MiB, 18 %
2026/08/01 14:55:07.113, 6349 MiB, 17 %
2026/08/01 14:55:12.114, 6349 MiB, 20 %
2026/08/01 14:55:17.114, 6349 MiB, 19 %
2026/08/01 14:55:22.114, 6349 MiB, 18 %
2026/08/01 14:55:27.115, 6349 MiB, 18 %
2026/08/01 14:55:32.115, 6359 MiB, 19 %
2026/08/01 14:55:37.116, 6365 MiB, 19 %
2026/08/01 14:55:42.116, 6377 MiB, 18 %
2026/08/01 14:55:47.117, 6385 MiB, 16 %
2026/08/01 14:55:52.117, 6393 MiB, 19 %
2026/08/01 14:55:57.118, 6405 MiB, 19 %
2026/08/01 14:56:02.118, 6411 MiB, 19 %
2026/08/01 14:56:07.119, 6415 MiB, 18 %
